G	P1D	P1L	P1Fs	P1Ts	P1DTs	P1Fit	P1Behav	P2D	P2L	P2Fs	P2Ts	P2DTs	P2Fit	P2Behav	CD	CL	CFs	CTs	CDTs	CFit	CBehav	Mod_D
6	5	26	10	16	5	5.0	15.625	7	128	58	70	5	5.0	15.625	8	142	64	78	5	4.0	12.5	4
6	5	54	20	34	5	5.0	15.625	8	56	23	33	5	3.0	9.375	6	70	26	44	5	4.0	12.5	4
6	10	53	22	31	5	4.0	12.5	6	131	58	73	5	3.0	9.375	6	133	59	74	5	2.0	6.25	5
6	7	83	37	46	5	3.0	9.375	7	34	14	20	5	4.0	12.5	7	93	42	51	5	2.0	6.25	4
6	5	127	58	69	5	3.0	9.375	7	53	22	31	5	5.0	15.625	7	69	29	40	5	4.0	12.5	4
6	5	45	17	28	5	4.0	12.5	5	127	58	69	5	3.0	9.375	7	79	32	47	5	3.0	9.375	4
6	5	45	17	28	5	4.0	12.5	8	56	23	33	5	3.0	9.375	5	40	15	25	5	3.0	9.375	3
6	5	119	53	66	5	4.0	12.5	9	50	21	29	5	4.0	12.5	5	118	53	65	5	3.0	9.375	5
6	7	54	21	33	5	4.0	12.5	6	123	55	68	5	4.0	12.5	6	120	53	67	5	3.0	9.375	3
6	5	45	17	28	5	4.0	12.5	6	123	55	68	5	4.0	12.5	6	122	55	67	5	3.0	9.375	4
6	9	172	75	97	5	4.0	12.5	6	131	58	73	5	3.0	9.375	6	130	58	72	5	2.0	6.25	5
6	7	128	58	70	5	5.0	15.625	5	122	54	68	5	4.0	12.5	7	120	54	66	5	4.0	12.5	3
6	5	45	17	28	5	4.0	12.5	7	83	37	46	5	3.0	9.375	6	68	29	39	5	1.0	3.125	3
6	7	53	22	31	5	5.0	15.625	6	123	55	68	5	4.0	12.5	7	56	24	32	5	4.0	12.5	4
6	7	128	58	70	5	5.0	15.625	8	68	27	41	5	4.0	12.5	7	119	54	65	5	4.0	12.5	3
7	5	51	20	31	5	3.0	9.375	5	46	17	29	5	4.0	12.5	6	49	18	31	5	3.0	9.375	5
7	4	43	16	27	5	4.0	12.5	7	82	37	45	5	3.0	9.375	5	60	23	37	5	3.0	9.375	3
7	8	111	54	57	5	3.0	9.375	10	136	62	74	5	4.0	12.5	8	109	52	57	5	2.0	6.25	3
7	6	132	58	74	5	3.0	9.375	5	119	53	66	5	4.0	12.5	7	129	57	72	5	3.0	9.375	5
7	5	46	17	29	5	4.0	12.5	7	83	37	46	5	3.0	9.375	5	45	17	28	5	3.0	9.375	3
7	5	43	18	25	5	4.0	12.5	7	138	62	76	5	3.0	9.375	7	134	60	74	5	2.0	6.25	3
7	8	56	23	33	5	3.0	9.375	7	133	61	72	5	3.0	9.375	7	135	62	73	5	2.0	6.25	4
8	8	56	23	33	5	3.0	9.375	6	116	52	64	5	3.0	9.375	6	123	55	68	5	1.0	3.125	4
8	6	127	57	70	5	3.0	9.375	6	116	52	64	5	3.0	9.375	6	103	47	56	5	2.0	6.25	3
8	6	130	58	72	5	2.0	6.25	5	129	58	71	5	3.0	9.375	5	128	57	71	5	2.0	6.25	4
8	6	116	52	64	5	3.0	9.375	6	116	52	64	5	3.0	9.375	6	117	52	65	5	2.0	6.25	5
8	5	129	58	71	5	3.0	9.375	6	133	59	74	5	2.0	6.25	5	127	56	71	5	2.0	6.25	4
8	6	121	54	67	5	3.0	9.375	6	127	57	70	5	3.0	9.375	6	120	54	66	5	2.0	6.25	5
8	6	131	58	73	5	3.0	9.375	10	58	25	33	5	4.0	12.5	7	146	64	82	5	1.0	3.125	5
8	7	141	64	77	5	3.0	9.375	6	131	58	73	5	3.0	9.375	6	136	60	76	5	2.0	6.25	5
8	5	51	20	31	5	3.0	9.375	8	147	66	81	5	3.0	9.375	5	125	56	69	5	2.0	6.25	4
8	6	127	57	70	5	3.0	9.375	7	134	61	73	5	3.0	9.375	7	117	55	62	5	2.0	6.25	4
8	6	130	58	72	5	2.0	6.25	7	130	59	71	5	3.0	9.375	7	128	57	71	5	2.0	6.25	4
8	6	131	58	73	5	3.0	9.375	6	131	58	73	5	3.0	9.375	7	146	64	82	5	2.0	6.25	5
8	5	129	58	71	5	3.0	9.375	7	141	66	75	5	3.0	9.375	5	126	56	70	5	2.0	6.25	4
9	9	246	110	136	5	2.0	6.25	12	193	84	109	5	2.0	6.25	9	248	111	137	5	1.0	3.125	4
9	6	130	58	72	5	2.0	6.25	5	125	56	69	5	2.0	6.25	6	121	55	66	5	1.0	3.125	5
9	6	130	58	72	5	2.0	6.25	12	187	81	106	5	2.0	6.25	12	208	91	117	5	1.0	3.125	5
9	14	188	85	103	5	3.0	9.375	5	125	56	69	5	2.0	6.25	14	187	84	103	5	2.0	6.25	4
9	7	130	58	72	5	3.0	9.375	6	134	60	74	5	2.0	6.25	6	134	60	74	5	1.0	3.125	5
9	6	129	58	71	5	3.0	9.375	6	129	58	71	5	3.0	9.375	7	140	62	78	5	2.0	6.25	5
9	6	131	58	73	5	3.0	9.375	9	246	110	136	5	2.0	6.25	6	133	58	75	5	2.0	6.25	5
9	7	117	55	62	5	2.0	6.25	6	130	58	72	5	3.0	9.375	6	126	56	70	5	2.0	6.25	3
9	6	130	58	72	5	2.0	6.25	6	129	58	71	5	3.0	9.375	10	163	74	89	5	2.0	6.25	5
10	6	134	59	75	5	2.0	6.25	10	157	71	86	5	1.0	3.125	10	152	71	81	5	0.0	0.0	3
10	6	131	58	73	5	2.0	6.25	7	117	55	62	5	2.0	6.25	6	135	59	76	5	1.0	3.125	5
