Generation	ProgID	Fitness	BScore	SatCount	NodeCount	Similarity%	Waste%	Depth	Length	Functions	Terminals	DTerminals	ModD
44	17416013	0.0	0.0	0.5	9	93.92361111111111	94.44444444444444	17	576	275	301	5	5
43	842868	0.0	0.0	0.5	9	92.53996447602132	94.27549194991055	17	559	266	293	5	9
42	28909973	0.0	0.0	0.5	9	83.30373001776199	93.68836291913215	17	507	241	266	5	8
41	9293807	0.0	0.0	0.5	9	82.7708703374778	93.75	17	512	244	268	5	8
40	17264786	0.0	0.0	0.5	9	82.41563055062167	93.81044487427465	17	517	246	271	5	11
39	7916459	0.0	0.0	0.5	9	76.55417406749557	93.44262295081968	15	488	231	257	5	9
38	5602395	0.0	0.0	0.5	9	76.55417406749557	93.46938775510203	15	490	231	259	5	12
37	31225742	0.0	0.0	0.5	9	76.02131438721138	93.4560327198364	15	489	231	258	5	9
36	17740413	0.0	0.0	0.5	9	76.02131438721138	93.48268839103869	15	491	231	260	5	8
35	9066661	0.0	0.0	0.5	9	65.36412078152753	92.5754060324826	15	431	202	229	5	20
50	20986377	14.0	43.75	0.875	3	100.0	14.285714285714285	2	7	3	4	3	1
49	5731194	0.0	0.0	0.5	9	0.19723865877712032	93.68836291913215	17	507	242	265	5	20
50	27410741	1.0	3.125	0.46875	10	100.0	91.8918918918919	17	370	176	194	5	5
49	24117485	0.0	0.0	0.5	9	90.5940594059406	92.07920792079209	17	404	194	210	5	13
48	17207040	0.0	0.0	0.5	9	89.43488943488943	92.13759213759214	17	407	195	212	5	14
47	4398493	0.0	0.0	0.5	9	88.75305623471883	92.1760391198044	17	409	196	213	5	8
46	21397885	0.0	0.0	0.5	9	87.8345498783455	92.21411192214111	17	411	196	215	5	15
45	746976	0.0	0.0	0.5	9	87.19806763285024	92.27053140096618	17	414	197	217	5	8
44	17972289	0.0	0.0	0.5	9	80.67415730337079	92.80898876404494	17	445	213	232	5	0
43	16906758	0.0	0.0	0.5	9	80.67415730337079	92.80898876404494	17	445	213	232	5	9
42	17892731	0.0	0.0	0.5	9	80.18018018018019	92.7927927927928	17	444	213	231	5	0
41	8498575	0.0	0.0	0.5	9	80.18018018018019	92.7927927927928	17	444	213	231	5	0
40	19427002	0.0	0.0	0.5	9	80.18018018018019	92.7927927927928	17	444	213	231	5	11
39	27646656	0.0	0.0	0.5	9	80.36117381489842	92.7765237020316	17	443	213	230	5	13
38	30969189	0.0	0.0	0.5	9	79.68397291196389	92.7765237020316	17	443	213	230	5	13
37	17960685	0.0	0.0	0.5	9	79.05405405405406	92.7927927927928	17	444	213	231	5	20
50	23538828	0.0	0.0	0.5	9	100.0	93.88145315487571	17	523	245	278	5	5
49	10343978	0.0	0.0	0.5	9	92.73422562141491	93.4560327198364	17	489	227	262	5	20
50	10334615	3.0	9.375	0.40625	12	100.0	92.80397022332507	17	403	193	210	5	4
49	3141854	0.0	0.0	0.5	9	97.5609756097561	92.19512195121952	17	410	196	214	5	0
48	1392667	0.0	0.0	0.5	9	97.5609756097561	92.19512195121952	17	410	196	214	5	20
50	16134616	0.0	0.0	0.5	9	100.0	93.77431906614785	17	514	245	269	5	12
49	5731194	0.0	0.0	0.5	9	98.0544747081712	93.68836291913215	17	507	242	265	5	20
50	21134387	0.0	0.0	0.5	9	100.0	92.72727272727272	17	440	208	232	5	7
49	9460493	0.0	0.0	0.5	9	99.09706546275395	92.7765237020316	17	443	209	234	5	11
48	32516939	0.0	0.0	0.5	9	98.86621315192744	92.7437641723356	17	441	209	232	5	11
47	17207040	0.0	0.0	0.5	9	90.9090909090909	92.13759213759214	17	407	195	212	5	14
46	4398493	0.0	0.0	0.5	9	90.68181818181819	92.1760391198044	17	409	196	213	5	8
45	21397885	0.0	0.0	0.5	9	90.22727272727272	92.21411192214111	17	411	196	215	5	15
44	746976	0.0	0.0	0.5	9	90.22727272727272	92.27053140096618	17	414	197	217	5	8
43	17972289	0.0	0.0	0.5	9	88.76404494382022	92.80898876404494	17	445	213	232	5	0
42	16906758	0.0	0.0	0.5	9	88.76404494382022	92.80898876404494	17	445	213	232	5	9
41	17892731	0.0	0.0	0.5	9	88.28828828828829	92.7927927927928	17	444	213	231	5	0
40	8498575	0.0	0.0	0.5	9	88.28828828828829	92.7927927927928	17	444	213	231	5	0
39	19427002	0.0	0.0	0.5	9	88.28828828828829	92.7927927927928	17	444	213	231	5	11
38	27646656	0.0	0.0	0.5	9	87.81038374717834	92.7765237020316	17	443	213	230	5	13
37	30969189	0.0	0.0	0.5	9	87.13318284424379	92.7765237020316	17	443	213	230	5	13
36	17960685	0.0	0.0	0.5	9	86.48648648648648	92.7927927927928	17	444	213	231	5	20
50	31982380	0.0	0.0	0.5	9	100.0	94.11764705882352	17	544	259	285	5	14
49	3363265	0.0	0.0	0.5	9	99.26470588235294	94.08502772643253	17	541	258	283	5	9
48	29118089	0.0	0.0	0.5	9	98.16176470588235	94.02985074626866	17	536	255	281	5	11
47	32858535	0.0	0.0	0.5	9	97.42647058823529	94.00749063670412	17	534	255	279	5	8
46	11346824	0.0	0.0	0.5	9	95.62841530054644	94.1712204007286	17	549	261	288	5	0
45	27874776	0.0	0.0	0.5	9	95.62841530054644	94.1712204007286	17	549	261	288	5	10
44	17416013	0.0	0.0	0.5	9	90.625	94.44444444444444	17	576	275	301	5	5
43	842868	0.0	0.0	0.5	9	89.80322003577818	94.27549194991055	17	559	266	293	5	9
42	28909973	0.0	0.0	0.5	9	82.53676470588235	93.68836291913215	17	507	241	266	5	8
41	9293807	0.0	0.0	0.5	9	81.98529411764706	93.75	17	512	244	268	5	8
40	17264786	0.0	0.0	0.5	9	81.61764705882352	93.81044487427465	17	517	246	271	5	11
39	7916459	0.0	0.0	0.5	9	75.73529411764706	93.44262295081968	15	488	231	257	5	9
38	5602395	0.0	0.0	0.5	9	75.73529411764706	93.46938775510203	15	490	231	259	5	12
37	31225742	0.0	0.0	0.5	9	75.18382352941177	93.4560327198364	15	489	231	258	5	9
