G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
1	2.0	0.75	2	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	2.0	0.75	2	5.0	0.625	6
1	1.0	0.5	1	1.0	0.5	1	1.0	0.5	1
1	1.0	0.5	1	1.0	0.5	1	1.0	0.5	1
1	3.0	0.15625	6	3.0	0.5625	5	2.0	0.125	6
1	3.0	0.15625	6	3.0	0.5625	5	4.0	0.40625	7
1	1.0	0.5	1	3.0	0.5625	5	4.0	0.75	4
1	1.0	0.5	1	3.0	0.5625	5	1.0	0.25	2
1	3.0	0.25	6	6.0	0.71875	7	3.0	0.3125	6
1	3.0	0.25	6	6.0	0.71875	7	6.0	0.71875	7
1	1.0	0.25	2	2.0	0.375	3	2.0	0.375	3
1	1.0	0.25	2	2.0	0.375	3	1.0	0.25	2
1	4.0	0.75	5	5.0	0.34375	10	4.0	0.71875	7
1	4.0	0.75	5	5.0	0.34375	10	4.0	0.3125	8
1	2.0	0.75	2	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	2.0	0.75	2	3.0	0.5	4
1	2.0	0.375	3	2.0	0.375	3	2.0	0.75	2
1	2.0	0.375	3	2.0	0.375	3	2.0	0.1875	4
1	1.0	0.5	1	3.0	0.625	4	2.0	0.375	3
1	1.0	0.5	1	3.0	0.625	4	2.0	0.75	2
1	4.0	0.5	6	3.0	0.25	6	2.0	0.375	4
1	4.0	0.5	6	3.0	0.25	6	1.0	0.5	1
1	2.0	0.375	3	2.0	0.75	2	3.0	0.375	5
1	2.0	0.375	3	2.0	0.75	2	2.0	0.75	2
1	2.0	0.75	2	4.0	0.75	5	2.0	0.75	2
1	2.0	0.75	2	4.0	0.75	5	4.0	0.75	5
1	2.0	0.375	3	3.0	0.25	5	1.0	0.25	2
1	2.0	0.375	3	3.0	0.25	5	1.0	0.5	1
1	2.0	0.375	3	9.0	0.5	11	1.0	0.5	1
1	2.0	0.375	3	9.0	0.5	11	2.0	0.75	2
1	1.0	0.5	1	2.0	0.375	3	1.0	0.25	2
1	1.0	0.5	1	2.0	0.375	3	3.0	0.625	4
1	2.0	0.375	4	2.0	0.75	2	1.0	0.5	1
1	2.0	0.375	4	2.0	0.75	2	1.0	0.5	1
1	2.0	0.375	4	1.0	0.5	1	2.0	0.375	3
1	2.0	0.375	4	1.0	0.5	1	1.0	0.5	1
1	1.0	0.5	1	3.0	0.8125	4	3.0	0.875	3
